Partial_Shading,Irradiance,Temperature,V_OC,I_SC,"P_MP,0","V_MP,0","I_MP,0","P_MP,1","V_MP,1","I_MP,1",V_0,I_0,V_1,I_1,V_2,I_2,V_3,I_3
0.5,1000,50,31.509,8.9993,77.781,10.344,7.5196,70.169,27.202,2.5795,14.568,2.7,9.7242,7.9,11.579,6.4,28.924,2.2
0.5,1000,49,31.633,8.9994,78.288,10.342,7.5696,70.523,27.333,2.5802,14.629,2.7,9.8248,7.9,11.656,6.4,29.052,2.2
0.5,1000,48,31.757,8.9994,78.794,10.415,7.5654,70.878,27.463,2.5809,14.69,2.7,9.9007,7.9,11.722,6.4,29.189,2.2
0.5,1000,47,31.881,8.9995,79.301,10.457,7.5834,71.232,27.593,2.5815,14.751,2.7,9.8253,8,11.769,6.4,29.317,2.2
0.5,1000,46,32.005,8.9995,79.806,10.476,7.6183,71.587,27.723,2.5822,14.812,2.7,9.835,8,11.744,6.5,29.454,2.2
0.5,1000,45,32.129,8.9995,80.316,10.551,7.6118,71.941,27.831,2.5849,14.873,2.7,9.9157,8,11.812,6.5,29.585,2.2
0.5,1000,44,32.253,8.9996,80.824,10.627,7.6052,72.296,27.975,2.5843,14.934,2.7,9.9965,8,11.879,6.5,29.71,2.2
0.5,1000,43,32.376,8.9996,81.332,10.689,7.6088,72.651,28.081,2.5872,14.995,2.7,10.06,8,11.938,6.5,29.847,2.2
0.5,1000,42,32.5,8.9996,81.84,10.66,7.6772,73.006,28.211,2.5878,15.056,2.7,9.8878,8.1,12,6.5,29.974,2.2
0.5,1000,41,32.624,8.9997,82.356,10.74,7.6678,73.361,28.341,2.5885,15.117,2.7,9.975,8.1,12.07,6.5,30.111,2.2
0.5,1000,40,32.747,8.9997,82.865,10.85,7.6372,73.716,28.483,2.5881,15.178,2.7,10.219,8,12.157,6.5,30.242,2.2
0.5,1000,39,32.871,8.9997,83.377,10.905,7.6455,74.071,28.601,2.5898,15.239,2.7,10.274,8,12.212,6.5,30.375,2.2
0.5,1000,38,32.994,8.9997,83.894,10.893,7.7016,74.426,28.744,2.5893,15.3,2.7,10.254,8.1,12.271,6.5,30.506,2.2
0.5,1000,37,33.118,8.9998,84.405,10.921,7.7286,74.781,28.862,2.591,15.36,2.7,10.267,8.1,12.208,6.6,30.63,2.2
0.5,1000,36,33.241,8.9998,84.924,11.016,7.7092,75.136,28.975,2.5932,15.421,2.7,10.371,8.1,12.287,6.6,30.762,2.2
0.5,1000,35,33.364,8.9998,85.439,11.089,7.7048,75.492,29.122,2.5923,15.482,2.7,10.377,8.1,12.466,6.5,30.894,2.2
0.5,1000,34,33.488,8.9998,85.956,11.144,7.7131,75.848,29.252,2.5929,15.542,2.7,10.509,8.1,12.4,6.6,31.031,2.2
0.5,1000,33,33.611,8.9998,86.47,11.124,7.773,76.203,29.381,2.5936,15.603,2.7,10.375,8.2,12.49,6.6,31.158,2.2
0.5,1000,32,33.734,8.9998,86.99,11.259,7.7263,76.559,29.512,2.5941,15.664,2.7,10.619,8.1,12.577,6.6,31.294,2.2
0.5,1000,31,33.857,8.9999,87.512,11.267,7.7673,76.914,29.643,2.5947,15.724,2.7,10.527,8.2,12.617,6.6,31.422,2.2
