Partial_Shading,Irradiance,Temperature,V_OC,I_SC,P_MP,V_MP,I_MP,V_1,I_1,V_2,I_2
0,1000,50,33.026,9,221.13,26.87,8.2297,24.968,8.6,28.673,7.4
0,1000,49,33.145,9,222.27,26.98,8.2383,24.263,8.7,28.788,7.4
0,1000,48,33.265,9,223.41,27.152,8.228,25.266,8.6,28.937,7.4
0,1000,47,33.384,9,224.55,27.222,8.249,24.498,8.7,29.031,7.4
0,1000,46,33.504,9,225.7,27.353,8.2513,24.801,8.7,29.158,7.4
0,1000,45,33.621,9,226.84,27.484,8.2535,24.936,8.7,29.337,7.4
0,1000,44,33.742,9,227.98,27.553,8.2742,24.97,8.7,29.432,7.4
0,1000,43,33.861,9,229.13,27.726,8.2641,25.172,8.7,29.58,7.4
0,1000,42,33.979,9,230.27,27.826,8.2755,25.256,8.7,29.691,7.4
0,1000,41,34.099,9,231.42,28.009,8.2622,25.475,8.7,29.844,7.4
0,1000,40,34.216,9,232.57,28.079,8.2828,25.676,8.7,29.832,7.5
0,1000,39,34.337,9,233.72,28.21,8.2849,25.711,8.7,29.959,7.5
0,1000,38,34.455,9,234.86,28.362,8.2809,25.978,8.7,30.097,7.5
0,1000,37,34.575,9,236.01,28.452,8.2951,26.047,8.7,30.202,7.5
0,1000,36,34.692,9,237.16,28.604,8.2911,26.215,8.7,30.34,7.5
0,1000,35,34.81,9,238.31,28.736,8.2931,26.35,8.7,30.467,7.5
0,1000,34,34.93,9,239.46,28.836,8.3042,26.435,8.7,30.632,7.5
0,1000,33,35.05,9,240.62,28.916,8.3212,26.652,8.7,30.732,7.5
0,1000,32,35.167,9,241.76,29.089,8.3112,26.852,8.7,30.881,7.5
0,1000,31,35.287,9,242.92,29.148,8.334,25.641,8.8,31.023,7.5
0,1000,30,35.402,9,244.07,29.332,8.3211,27.089,8.7,31.124,7.5
0,1000,29,35.522,9,245.23,29.464,8.3231,27.224,8.7,31.251,7.5
0,1000,28,35.639,9,246.38,29.533,8.3427,26.214,8.8,31.399,7.5
0,1000,27,35.759,9,247.54,29.644,8.3505,26.313,8.8,31.516,7.5
0,1000,26,35.876,9,248.7,29.818,8.3406,26.522,8.8,31.664,7.5
0,1000,25,35.994,9,249.86,29.908,8.3542,26.584,8.8,31.821,7.5
0,1000,24,36.113,9,251.02,30.061,8.3502,26.756,8.8,31.958,7.5
0,1000,23,36.232,9,252.17,30.193,8.3521,26.892,8.8,32.085,7.5
0,1000,22,36.348,9,253.33,30.304,8.3597,26.991,8.8,32.202,7.5
0,1000,21,36.467,9,254.49,30.373,8.3788,27.2,8.8,32.349,7.5
0,1000,20,36.585,9,255.65,30.547,8.3691,27.408,8.8,32.446,7.5
0,950,50,32.897,8.55,209.07,26.759,7.8129,24.534,8.2,28.544,7
0,950,49,33.017,8.55,210.16,26.829,7.8332,24.724,8.2,28.689,7
0,950,48,33.137,8.55,211.24,26.996,7.8249,24.913,8.2,28.835,7
0,950,47,33.256,8.55,212.33,27.124,7.828,25.043,8.2,28.96,7
0,950,46,33.377,8.55,213.42,27.233,7.8368,25.143,8.2,28.919,7.1
0,950,45,33.496,8.55,214.5,27.4,7.8285,25.332,8.2,29.221,7
0,950,44,33.616,8.55,215.6,27.47,7.8485,25.52,8.2,29.213,7.1
0,950,43,33.735,8.55,216.69,27.598,7.8515,25.65,8.2,29.338,7.1
0,950,42,33.854,8.55,217.78,27.707,7.8601,24.809,8.3,29.453,7.1
0,950,41,33.973,8.55,218.86,27.874,7.8519,25.939,8.2,29.6,7.1
0,950,40,34.094,8.55,219.96,27.944,7.8715,25.035,8.3,29.746,7.1
0,950,39,34.211,8.55,221.06,28.112,7.8634,25.232,8.3,29.841,7.1
0,950,38,34.331,8.55,222.15,28.181,7.8828,25.427,8.3,29.987,7.1
0,950,37,34.45,8.55,223.24,28.31,7.8857,25.557,8.3,30.113,7.1
0,950,36,34.569,8.55,224.34,28.478,7.8776,25.588,8.3,30.259,7.1
0,950,35,34.687,8.55,225.43,28.587,7.8859,25.85,8.3,30.374,7.1
0,950,34,34.806,8.55,226.53,28.656,7.905,25.881,8.3,30.52,7.1
0,950,33,34.925,8.55,227.63,28.785,7.9078,26.175,8.3,30.646,7.1
0,950,32,35.044,8.55,228.72,28.913,7.9106,26.305,8.3,30.772,7.1
0,950,31,35.164,8.55,229.82,29.121,7.8918,26.403,8.3,30.937,7.1
0,950,30,35.283,8.55,230.92,29.191,7.9108,26.598,8.3,31.082,7.1
0,950,29,35.401,8.55,232.02,29.3,7.9188,26.695,8.3,31.198,7.1
0,950,28,35.521,8.55,233.12,29.468,7.9109,26.89,8.3,31.343,7.1
0,950,27,35.64,8.55,234.22,29.597,7.9136,27.02,8.3,31.469,7.1
0,950,26,35.757,8.55,235.32,29.667,7.9322,27.053,8.3,31.565,7.1
0,950,25,35.875,8.55,236.43,29.776,7.9402,27.313,8.3,31.73,7.1
0,950,24,35.993,8.55,237.52,29.934,7.9349,27.491,8.3,31.87,7.1
0,950,23,36.114,8.55,238.63,30.004,7.9533,25.955,8.4,31.818,7.2
0,950,22,36.231,8.55,239.73,30.103,7.9637,26.215,8.4,31.928,7.2
0,950,21,36.351,8.55,240.84,30.242,7.9636,26.363,8.4,32.06,7.2
0,950,20,36.467,8.55,241.94,30.421,7.9532,26.401,8.4,32.211,7.2
0,900,50,32.762,8.1,197.06,26.635,7.3986,24.118,7.8,28.299,6.7
0,900,49,32.88,8.1,198.09,26.797,7.3922,24.302,7.8,28.443,6.7
0,900,48,33,8.1,199.12,26.867,7.4115,24.486,7.8,28.587,6.7
0,900,47,33.122,8.1,200.16,27.029,7.4052,24.522,7.8,28.681,6.7
0,900,46,33.241,8.1,201.19,27.099,7.4243,24.706,7.8,28.825,6.7
0,900,45,33.361,8.1,202.22,27.261,7.418,24.889,7.8,28.969,6.7
0,900,44,33.48,8.1,203.26,27.331,7.437,25.073,7.8,29.113,6.7
0,900,43,33.602,8.1,204.29,27.456,7.4407,25.198,7.8,29.237,6.7
0,900,42,33.721,8.1,205.33,27.563,7.4494,25.293,7.8,29.352,6.7
0,900,41,33.842,8.1,206.36,27.744,7.4381,25.506,7.8,29.505,6.7
0,900,40,33.961,8.1,207.4,27.795,7.4618,25.66,7.8,29.639,6.7
0,900,39,34.08,8.1,208.44,27.958,7.4555,25.698,7.8,29.783,6.7
0,900,38,34.2,8.1,209.48,28.121,7.4492,25.881,7.8,29.926,6.7
0,900,37,34.319,8.1,210.52,28.153,7.4776,24.759,7.9,30.05,6.7
0,900,36,34.438,8.1,211.56,28.354,7.4615,26.247,7.8,30.165,6.7
0,900,35,34.558,8.1,212.6,28.479,7.4651,26.372,7.8,30.289,6.7
0,900,34,34.677,8.1,213.64,28.549,7.4833,25.231,7.9,30.432,6.7
0,900,33,34.796,8.1,214.68,28.656,7.4917,25.422,7.9,30.594,6.7
0,900,32,34.917,8.1,215.73,28.838,7.4807,25.644,7.9,30.7,6.7
0,900,31,35.036,8.1,216.77,28.982,7.4793,25.638,7.9,30.833,6.7
0,900,30,35.154,8.1,217.81,29.108,7.4828,25.926,7.9,30.958,6.7
0,900,29,35.275,8.1,218.85,29.215,7.4911,26.018,7.9,31.119,6.7
0,900,28,35.394,8.1,219.9,29.285,7.509,26.208,7.9,31.073,6.8
0,900,27,35.512,8.1,220.95,29.449,7.5028,26.235,7.9,31.217,6.8
0,900,26,35.632,8.1,222,29.575,7.5062,26.522,7.9,31.342,6.8
0,900,25,35.751,8.1,223.04,29.682,7.5144,26.614,7.9,31.457,6.8
0,900,24,35.87,8.1,224.09,29.845,7.5083,26.804,7.9,31.601,6.8
0,900,23,35.989,8.1,225.13,29.971,7.5116,26.929,7.9,31.725,6.8
0,900,22,36.107,8.1,226.19,30.079,7.5197,27.021,7.9,31.84,6.8
